Team Number,Match,AC1T,AC1,AC2T,AC2,AC3T,AC3,AC4T,AC4,AARL,AARH,AAP,AAB,AM,TC1T,TC1,TC2T,TC2,TC3T,TC3,TC4T,TC4,TARL,TARH,TAP,TAB,EP,Auton Coral L 1,Auton Coral L 2,Auton Coral L3,Auton Coral L 4,Auton Algae Process,Auton Algae Barge,Auton Points,Teleop Coral L 1,Teleop Coral L2,Teleop Coral L3,Teleop Coral L4,Teleop Algae Barged,Teleop Algae Processed,Teleop Algae Barged HP,Parked Endgame,Teleop Points,% L1,% L2,% L3,% L4,Points Total,Deep Climb,Shallow Climb,Breaking,Auton Coral L1 Rate,Auton Coral L2 Rate,Auton Coral L3 Rate,Auton Coral L4 Rate,Defense,Teleop Coral L1 Rate,Teleop Coral L2 Rate,Teleop Coral L3 Rate,Teleop Coral L4 Rate,Auton Algae Removed,Algae Teleop Removed,Total Auton Coral Success,Total Teleop Coral Sucess,Algae Capability,Auton Coral Attempt,Teleop Coral Attempt
7864,34,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0%,0%,0%,0,0,0,1,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE,0,0,FALSE,FALSE,0,0,0
9578,34,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,1,1,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,4,0,0,2,6,0%,0%,0%,0%,6,0,0,0,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE,0,2,FALSE,FALSE,1,0,0
6421,34,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,5,5,2,0,0,0,0,1,0,0,1,FALSE,0,FALSE,0,0,0,0,0,15,0,0,0,0,0,2,17,0%,75%,25%,0%,17,0,0,0,FALSE,0%,FALSE,FALSE,0,FALSE,100%,0%,FALSE,0,1,0,5,2,1,7
6574,35,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,2,2,0%,0%,0%,100%,2,0,0,0,FALSE,FALSE,FALSE,FALSE,1,FALSE,FALSE,FALSE,0%,0,0,FALSE,0,0,0,1
4693,35,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,24,0,0,24,0%,0%,0%,0%,24,0,0,0,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE,0,0,FALSE,FALSE,0,0,0
4674,35,1,1,0,0,0,0,0,0,0,0,0,0,1,12,11,0,0,0,0,0,0,1,0,0,0,3,3,FALSE,FALSE,0,0,0,3,22,0,0,0,0,0,0,6,28,100%,0%,0%,0%,31,1,0,0,100%,FALSE,FALSE,FALSE,0,92%,FALSE,FALSE,FALSE,0,1,1,11,1,1,12
3294,35,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0,1,0,0,3,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,5,0,0,0,6,11,0%,0%,0%,100%,11,1,0,0,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,50%,0,1,FALSE,1,2,0,2
1714,35,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,7,4,0,0,0,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,4,20,0,0,0,0,24,0%,0%,11%,89%,24,0,0,0,FALSE,FALSE,FALSE,0%,0,FALSE,FALSE,100%,57%,0,0,0,5,0,1,8
7235,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,6,6,0%,0%,0%,0%,6,1,0,0,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE,0,0,FALSE,FALSE,0,0,0
5903,36,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,FALSE,FALSE,0,0,0,6,0,0,0,0,0,0,0,0,0,100%,0%,0%,0%,6,0,0,1,100%,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE,0,0,2,FALSE,0,2,0
